ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2017-01-01,5℃,-3℃,霾~晴,南风,1-2级,450,严重污染,6
2017-01-02,7℃,-6℃,晴~霾,南风,1-2级,246,重度污染,5
2017-01-03,5℃,-5℃,霾,南风,1-2级,320,严重污染,6
2017-01-04,6℃,-5℃,霾,北风,1-2级,360,严重污染,6
2017-01-05,2℃,-4℃,霾,北风,1-2级,280,重度污染,5
2017-01-06,4℃,-2℃,霾,南风,1-2级,234,重度污染,5
2017-01-07,2℃,-3℃,小雪,无持续风向,微风,206,重度污染,5
2017-01-08,5℃,-4℃,阴~晴,北风,1-2级,59,良,2
2017-01-09,3℃,-5℃,晴,南风,1-2级,42,优,1
2017-01-10,4℃,-6℃,晴,北风,3-4级,46,优,1
2017-01-11,5℃,-5℃,晴,南风,1-2级,82,良,2
2017-01-12,5℃,-4℃,晴,南风,1-2级,61,良,2
2017-01-13,3℃,-6℃,晴,北风,3-4级,26,优,1
2017-01-14,3℃,-7℃,晴,东南风,1-2级,35,优,1
2017-01-15,1℃,-6℃,霾,南风,1-2级,71,良,2
2017-01-16,1℃,-5℃,霾,南风,1-2级,123,轻度污染,3
2017-01-17,4℃,-5℃,霾~晴,北风,1-2级,175,中度污染,4
2017-01-18,2℃,-4℃,多云~小雪,南风,1-2级,59,良,2
2017-01-19,1℃,-8℃,晴,北风,5-6级,86,良,2
2017-01-20,1℃,-8℃,晴~多云,西南风,1-2级,35,优,1
2017-01-21,0℃,-8℃,晴,东北风,4-5级,55,良,2
2017-01-22,0℃,-10℃,晴,南风,1-2级,37,优,1
2017-01-23,1℃,-8℃,多云~晴,西南风,1-2级,46,优,1
2017-01-24,4℃,-7℃,多云,南风,1-2级,112,轻度污染,3
2017-01-25,5℃,-4℃,晴~阴,西南风,1-2级,215,重度污染,5
2017-01-26,8℃,-6℃,多云~晴,北风,4-5级,216,重度污染,5
2017-01-27,5℃,-5℃,晴~多云,西南风,3-4级,69,良,2
2017-01-28,4℃,-4℃,多云,南风,1-2级,354,严重污染,6
2017-01-29,1℃,-8℃,多云~晴,北风,4-5级,89,良,2
2017-01-30,1℃,-5℃,多云,南风,1-2级,38,优,1
